pathway,category,display_order
Regulation of actin cytoskeleton,Cellular motility and signaling,4
Gap junction,Cellular motility and signaling,5
Focal adhesion,Cellular motility and signaling,6
NOD-like receptor signaling pathway,Immune system,16
IL-17 signaling pathway,Immune system,17
Chemokine signaling pathway,Immune system,18
TNF signaling pathway,Signal transduction,30
Ras signaling pathway,Signal transduction,31
Phospholipase D signaling pathway,Signal transduction,32
NF-kappa B signaling pathway,Signal transduction,33
MAPK signaling pathway,Signal transduction,34
HIF-1 signaling pathway,Signal transduction,35
FoxO signaling pathway,Signal transduction,36
ErbB signaling pathway,Signal transduction,37
